cluster,grid_id,low_afternoon,medium_afternoon,high_afternoon,high,low,medium,p,segregation_afternoon,h,x
0,11888,0.5278097090273806,0.2702957161265828,0.20189457484603657,0.5,0.3,0.2,"[0.5, 0.3, 0.2]",0.19999999999999998,segregation_afternoon,0.19999999999999998
0,12227,0.49932326227493656,0.33647010994179033,0.16420662778327316,0.5,0.3,0.2,"[0.5, 0.3, 0.2]",0.19999999999999998,segregation_afternoon,0.19999999999999998
0,12400,0.42520248956256096,0.4343607875063701,0.1404367229310689,0.4,0.4,0.1,"[0.4, 0.4, 0.1]",0.22222222222222227,segregation_afternoon,0.22222222222222227
0,13085,0.6715606714852527,0.27842779634951287,0.05001153216523458,0.7,0.3,0.1,"[0.7, 0.3, 0.1]",0.3636363636363636,segregation_afternoon,0.3636363636363636
0,13255,0.5381863556828396,0.26684212126432466,0.1949715230528357,0.5,0.3,0.2,"[0.5, 0.3, 0.2]",0.19999999999999998,segregation_afternoon,0.19999999999999998
0,13431,0.740925978864342,0.1823724601263758,0.07670156100928212,0.7,0.2,0.1,"[0.7, 0.2, 0.1]",0.39999999999999997,segregation_afternoon,0.39999999999999997
0,13590,0.540653447591381,0.19744668018804112,0.26189987222057787,0.5,0.2,0.3,"[0.5, 0.2, 0.3]",0.19999999999999998,segregation_afternoon,0.19999999999999998
0,13598,0.5876524460424721,0.17194527519503092,0.240402278762497,0.6,0.2,0.2,"[0.6, 0.2, 0.2]",0.26666666666666666,segregation_afternoon,0.26666666666666666
1,13599,0.5237813302361569,0.2694878342332954,0.2067308355305477,0.5,0.3,0.2,"[0.5, 0.3, 0.2]",0.19999999999999998,segregation_afternoon,0.19999999999999998
1,13602,0.6314619005479687,0.20756776771246105,0.16097033173957023,0.6,0.2,0.2,"[0.6, 0.2, 0.2]",0.26666666666666666,segregation_afternoon,0.26666666666666666
0,13608,0.49939532304752177,0.2783740818380297,0.22223059511444856,0.5,0.3,0.2,"[0.5, 0.3, 0.2]",0.19999999999999998,segregation_afternoon,0.19999999999999998
0,13765,0.45497296268455156,0.32107719616249925,0.2239498411529492,0.5,0.3,0.2,"[0.5, 0.3, 0.2]",0.19999999999999998,segregation_afternoon,0.19999999999999998
0,13766,0.6497177431722321,0.2113611897792491,0.1389210670485188,0.6,0.2,0.1,"[0.6, 0.2, 0.1]",0.37037037037037035,segregation_afternoon,0.37037037037037035
1,13769,0.23821820564647553,0.1540697977032653,0.6077119966502593,0.2,0.2,0.6,"[0.2, 0.2, 0.6]",0.26666666666666666,segregation_afternoon,0.26666666666666666
1,13770,0.46044525599874764,0.35983881497972986,0.1797159290215225,0.5,0.4,0.2,"[0.5, 0.4, 0.2]",0.1818181818181818,segregation_afternoon,0.1818181818181818
1,13772,0.5590154466638605,0.36891822882203995,0.07206632451409961,0.6,0.4,0.1,"[0.6, 0.4, 0.1]",0.303030303030303,segregation_afternoon,0.303030303030303
0,13773,0.5335781289807655,0.3074007090713401,0.15902116194789445,0.5,0.3,0.2,"[0.5, 0.3, 0.2]",0.19999999999999998,segregation_afternoon,0.19999999999999998
1,13775,0.5951653318815646,0.3390256512231374,0.06580901689529799,0.6,0.3,0.1,"[0.6, 0.3, 0.1]",0.3333333333333333,segregation_afternoon,0.3333333333333333
1,13776,0.747873487980384,0.21304492870675218,0.039081583312863814,0.7,0.2,0.0,"[0.7, 0.2, 0.0]",0.5185185185185185,segregation_afternoon,0.5185185185185185
0,13777,0.6422279393903657,0.2436885452799188,0.11408351532971563,0.6,0.2,0.1,"[0.6, 0.2, 0.1]",0.37037037037037035,segregation_afternoon,0.37037037037037035
0,13778,0.6018115585965466,0.22686270838829595,0.1713257330151575,0.6,0.2,0.2,"[0.6, 0.2, 0.2]",0.26666666666666666,segregation_afternoon,0.26666666666666666
0,13779,0.652305032077579,0.14989010695151478,0.19780486097090624,0.7,0.1,0.2,"[0.7, 0.1, 0.2]",0.39999999999999997,segregation_afternoon,0.39999999999999997
0,13931,0.7184561116879408,0.24564689497427108,0.035896993337788154,0.7,0.2,0.0,"[0.7, 0.2, 0.0]",0.5185185185185185,segregation_afternoon,0.5185185185185185
0,13934,0.5627677605395474,0.3234179400501048,0.11381429941034785,0.6,0.3,0.1,"[0.6, 0.3, 0.1]",0.3333333333333333,segregation_afternoon,0.3333333333333333
0,13936,0.5975776191833332,0.3020265262557333,0.10039585456093357,0.6,0.3,0.1,"[0.6, 0.3, 0.1]",0.3333333333333333,segregation_afternoon,0.3333333333333333
0,13937,0.6365374556148857,0.2434973989433821,0.11996514544173208,0.6,0.2,0.1,"[0.6, 0.2, 0.1]",0.37037037037037035,segregation_afternoon,0.37037037037037035
0,13938,0.5344081242285527,0.20565636171901006,0.2599355140524372,0.5,0.2,0.3,"[0.5, 0.2, 0.3]",0.19999999999999998,segregation_afternoon,0.19999999999999998
0,13940,0.4335360568411842,0.34513290744851527,0.22133103571030066,0.4,0.3,0.2,"[0.4, 0.3, 0.2]",0.14814814814814817,segregation_afternoon,0.14814814814814817
1,13941,0.28691224271980936,0.32985132980051035,0.38323642747968034,0.3,0.3,0.4,"[0.3, 0.3, 0.4]",0.0666666666666667,segregation_afternoon,0.0666666666666667
0,13942,0.40558643641599434,0.3627452058464071,0.23166835773759847,0.4,0.4,0.2,"[0.4, 0.4, 0.2]",0.13333333333333333,segregation_afternoon,0.13333333333333333
0,13944,0.4619905147210493,0.310311613922415,0.2276978713565357,0.5,0.3,0.2,"[0.5, 0.3, 0.2]",0.19999999999999998,segregation_afternoon,0.19999999999999998
1,13946,0.5183352178763624,0.4269464133402823,0.05471836878335535,0.5,0.4,0.1,"[0.5, 0.4, 0.1]",0.26666666666666666,segregation_afternoon,0.26666666666666666
1,13947,0.5996394593309669,0.35298111250735725,0.047379428161676014,0.6,0.4,0.0,"[0.6, 0.4, 0.0]",0.39999999999999997,segregation_afternoon,0.39999999999999997
1,13948,0.6871341528979945,0.21103019125380917,0.10183565584819639,0.7,0.2,0.1,"[0.7, 0.2, 0.1]",0.39999999999999997,segregation_afternoon,0.39999999999999997
0,14099,0.24978675256995297,0.24490035023495751,0.5053128971950894,0.2,0.2,0.5,"[0.2, 0.2, 0.5]",0.22222222222222224,segregation_afternoon,0.22222222222222224
0,14103,0.6025874851499591,0.17516709424162677,0.22224542060841412,0.6,0.2,0.2,"[0.6, 0.2, 0.2]",0.26666666666666666,segregation_afternoon,0.26666666666666666
0,14104,0.663989959948321,0.2244960641065235,0.11151397594515548,0.7,0.2,0.1,"[0.7, 0.2, 0.1]",0.39999999999999997,segregation_afternoon,0.39999999999999997
0,14106,0.34082666688096913,0.2787283018575735,0.38044503126145734,0.3,0.3,0.4,"[0.3, 0.3, 0.4]",0.0666666666666667,segregation_afternoon,0.0666666666666667
0,14107,0.2768770396789541,0.26542822937629146,0.4576947309447544,0.3,0.3,0.5,"[0.3, 0.3, 0.5]",0.12121212121212122,segregation_afternoon,0.12121212121212122
1,14108,0.565547141557257,0.31409442688535094,0.120358431557392,0.6,0.3,0.1,"[0.6, 0.3, 0.1]",0.3333333333333333,segregation_afternoon,0.3333333333333333
1,14109,0.45463687177451056,0.3530467311305001,0.19231639709498927,0.5,0.4,0.2,"[0.5, 0.4, 0.2]",0.1818181818181818,segregation_afternoon,0.1818181818181818
1,14111,0.3203613429642106,0.3725184138569442,0.3071202431788452,0.3,0.4,0.3,"[0.3, 0.4, 0.3]",0.0666666666666667,segregation_afternoon,0.0666666666666667
0,14112,0.3262219550888201,0.3683345947571941,0.30544345015398583,0.3,0.4,0.3,"[0.3, 0.4, 0.3]",0.0666666666666667,segregation_afternoon,0.0666666666666667
0,14114,0.4155753222565372,0.37499964011080983,0.20942503763265294,0.4,0.4,0.2,"[0.4, 0.4, 0.2]",0.13333333333333333,segregation_afternoon,0.13333333333333333
0,14115,0.35900700799875335,0.2937608353010687,0.34723215670017793,0.4,0.3,0.3,"[0.4, 0.3, 0.3]",0.0666666666666667,segregation_afternoon,0.0666666666666667
1,14116,0.4262224756644806,0.4004830773417138,0.17329444699380556,0.4,0.4,0.2,"[0.4, 0.4, 0.2]",0.13333333333333333,segregation_afternoon,0.13333333333333333
1,14117,0.45807687057364754,0.3945969719744385,0.1473261574519139,0.5,0.4,0.1,"[0.5, 0.4, 0.1]",0.26666666666666666,segregation_afternoon,0.26666666666666666
0,14121,0.7623691762288933,0.17887823570545894,0.0587525880656477,0.8,0.2,0.1,"[0.8, 0.2, 0.1]",0.4242424242424243,segregation_afternoon,0.4242424242424243
0,14124,0.39681802127815485,0.32669534815535306,0.27648663056649214,0.4,0.3,0.3,"[0.4, 0.3, 0.3]",0.0666666666666667,segregation_afternoon,0.0666666666666667
0,14270,0.3552857741781989,0.2682339829582998,0.37648024286350135,0.4,0.3,0.4,"[0.4, 0.3, 0.4]",0.06060606060606062,segregation_afternoon,0.06060606060606062
0,14275,0.6370047896589592,0.2618234822121462,0.10117172812889459,0.6,0.3,0.1,"[0.6, 0.3, 0.1]",0.3333333333333333,segregation_afternoon,0.3333333333333333
0,14276,0.6900862277160806,0.17955109920708173,0.13036267307683758,0.7,0.2,0.1,"[0.7, 0.2, 0.1]",0.39999999999999997,segregation_afternoon,0.39999999999999997
1,14277,0.6234778146964404,0.20364467855455476,0.1728775067490048,0.6,0.2,0.2,"[0.6, 0.2, 0.2]",0.26666666666666666,segregation_afternoon,0.26666666666666666
1,14278,0.4703590237182879,0.2423431760891949,0.28729780019251716,0.5,0.2,0.3,"[0.5, 0.2, 0.3]",0.19999999999999998,segregation_afternoon,0.19999999999999998
1,14279,0.3818541809069681,0.3089302458976132,0.30921557319541865,0.4,0.3,0.3,"[0.4, 0.3, 0.3]",0.0666666666666667,segregation_afternoon,0.0666666666666667
1,14280,0.3414926999482233,0.38804813425152046,0.27045916580025625,0.3,0.4,0.3,"[0.3, 0.4, 0.3]",0.0666666666666667,segregation_afternoon,0.0666666666666667
1,14281,0.2659917877426203,0.39809964445002916,0.3359085678073506,0.3,0.4,0.3,"[0.3, 0.4, 0.3]",0.0666666666666667,segregation_afternoon,0.0666666666666667
1,14282,0.269139813055327,0.3778562517355938,0.35300393520907924,0.3,0.4,0.4,"[0.3, 0.4, 0.4]",0.06060606060606062,segregation_afternoon,0.06060606060606062
1,14283,0.24831110629369388,0.31888105766114955,0.4328078360451565,0.2,0.3,0.4,"[0.2, 0.3, 0.4]",0.14814814814814817,segregation_afternoon,0.14814814814814817
1,14284,0.2736799026209364,0.48048702975213864,0.24583306762692483,0.3,0.5,0.2,"[0.3, 0.5, 0.2]",0.19999999999999998,segregation_afternoon,0.19999999999999998
1,14285,0.27903365122760004,0.5037879639207445,0.21717838485165544,0.3,0.5,0.2,"[0.3, 0.5, 0.2]",0.19999999999999998,segregation_afternoon,0.19999999999999998
2,14286,0.2878113256807034,0.4779778565595517,0.2342108177597451,0.3,0.5,0.2,"[0.3, 0.5, 0.2]",0.19999999999999998,segregation_afternoon,0.19999999999999998
