cluster,time_of_day,grid_id,reason,high,low,medium
0,night,11888,2,0.1596300997868261,0.5467801315412408,0.293589768671933
0,night,11888,1,0.0,0.7672022215402726,0.2327977784597273
0,morning,11888,2,0.2147884421824586,0.4969965543198747,0.2882150034976665
0,morning,11888,1,0.0,0.7385725376040674,0.2614274623959325
0,afternoon,11888,2,0.2018945748460365,0.5278097090273806,0.2702957161265828
0,afternoon,11888,1,0.0,0.8367389485547028,0.1632610514452972
0,night,12227,2,0.2919913820109309,0.5166624918119962,0.1913461261770729
0,night,12227,1,0.0,0.9371733287585065,0.0628266712414936
0,morning,12227,2,0.3248648747514891,0.3772323888082758,0.2979027364402352
0,morning,12227,1,0.0819162511193799,0.5876586035793978,0.3304251453012222
0,afternoon,12227,2,0.1642066277832731,0.4993232622749365,0.3364701099417903
0,afternoon,12227,1,0.2531682628807534,0.467876795114988,0.2789549420042586
0,night,12400,2,0.1003932825511998,0.4881819257284215,0.4114247917203786
0,night,12400,1,0.0,0.8093458374060601,0.1906541625939399
0,night,12400,0,0.0,0.2327440925095646,0.7672559074904354
0,morning,12400,2,0.0,0.5694033211518464,0.4305966788481535
0,morning,12400,1,0.0,0.6332919863851765,0.3667080136148234
0,morning,12400,0,0.0,0.2223130296438926,0.7776869703561073
0,afternoon,12400,2,0.1404367229310689,0.4252024895625609,0.4343607875063701
0,afternoon,12400,1,0.0,0.8662925921618793,0.1337074078381207
0,afternoon,12400,0,0.0,0.2361731780021638,0.7638268219978361
0,night,13085,2,0.072599570399545,0.637736988101362,0.289663441499093
0,night,13085,1,0.259637822767454,0.1531382234135622,0.5872239538189838
0,night,13085,0,0.0,1.0,0.0
0,morning,13085,2,0.1085159869644206,0.5516563869113379,0.3398276261242413
0,morning,13085,1,0.0,0.8076720760657033,0.1923279239342966
0,morning,13085,0,0.0,1.0,0.0
0,afternoon,13085,2,0.0500115321652345,0.6715606714852527,0.2784277963495128
0,afternoon,13085,1,0.0,0.522078179442114,0.477921820557886
0,afternoon,13085,0,0.0,1.0,0.0
0,night,13255,2,0.1634186044106962,0.563326754311372,0.2732546412779317
0,night,13255,1,0.0,0.8552529856642005,0.1447470143357994
0,night,13255,0,0.0,0.970357732644043,0.0296422673559569
0,morning,13255,2,0.3758664422854422,0.4261404819649086,0.1979930757496493
0,morning,13255,1,0.0,0.4181320453436933,0.5818679546563066
0,morning,13255,0,0.0,0.911264371897036,0.088735628102964
0,afternoon,13255,2,0.1949715230528357,0.5381863556828396,0.2668421212643246
0,afternoon,13255,1,0.0,0.7401081295899189,0.259891870410081
0,afternoon,13255,0,0.0,0.9556901527913354,0.0443098472086646
0,night,13431,2,0.0844514471454129,0.7029951693273974,0.2125533835271896
0,night,13431,1,0.0,0.9618199229325128,0.0381800770674871
0,night,13431,0,0.0,0.961536860353442,0.0384631396465582
0,morning,13431,2,0.1638198313377814,0.6663146669773458,0.1698655016848727
0,morning,13431,1,0.2129202617126991,0.7105236247226744,0.0765561135646264
0,morning,13431,0,0.0,0.966556171957226,0.033443828042774
0,afternoon,13431,2,0.0767015610092821,0.740925978864342,0.1823724601263758
0,afternoon,13431,1,0.1308679522683989,0.8387746531590209,0.0303573945725802
0,afternoon,13431,0,0.0,0.9586973877546532,0.0413026122453469
0,night,13590,2,0.1838089794056034,0.5736867886786641,0.2425042319157325
